"Name","Line","Zones","NoteLength","Reasons","Preview"
"Craigine, R.K.","3635","""Buburimu Peninsula"", ""San d'Oria""","518","very long; wiki markup","Notes: Appears, when Kolshushu is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress ..."
"Darumomo, W.W.","5578","""West Sarutabaruta"", ""Windurst""","518","very long; wiki markup","Notes: Appears, when Sarutabaruta is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress B..."
"Dedden, I.M.","5490","""The Sanctuary of Zi'Tah""","518","very long; wiki markup","Notes: Appears, when Li'Telor is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Emp..."
"Quellebie, R.K.","4947","""North Gustaberg"", ""San d'Oria""","518","very long; wiki markup","Notes: Appears, when Gustaberg is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress ..."
"Saradorial","5086","""Outland"", ""Special Event"", ""West Ronfaure""","518","very long; instruction wording; wiki markup","Notes: Appears when the special event Sunbreeze Festival is active. :*Sells Super Scoops and buys items of characters :*Gives goldfish scooping points for trading special event-caught fish :*Can give you a Goldfish Baske..."
"Sharp Tooth, I.M.","5089","""Outland"", ""Pashhow Marshlands""","518","very long; wiki markup","Notes: Appears, when Derfland is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Emp..."
"Fighting Ant, I.M.","5039","""Outland"", ""Valkurm Dunes""","517","very long; wiki markup","Notes: Appears, when Zulkheim is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empr..."
"Lucius","245","""Metalworks""","517","very long","Involved in Quests: * Riding on the Clouds * Waking the Colossus * Trust: Bastok - Triggers the cutscene to learn Trust: Volker if you are at least Rank 6. Involved in Missions: * Bastok Mission 1-1: The Zeruhn Report * ..."
"Molting Moth, I.M.","5064","""Outland"", ""West Ronfaure""","517","very long; wiki markup","Notes: Appears, when Ronfaure is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empr..."
"Taumiale, R.K.","4637","""Jugner Forest"", ""Outland"", ""San d'Oria""","517","very long; wiki markup","Notes: Appears, when Norvallen is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress B..."
"Dultwa, I.M.","3666","""Cape Teriggan""","516","very long; wiki markup","Notes: Appears, when Vollbow is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empr..."
"Febrenard C Brunnaut","3382","""Battle"", ""San d'Oria (S)"", ""Southern San d'Oria (S) or The Eldieme Necropolis (S)""","516","very long","Notes: * Appears in campaign battles, as commander of the Temple Knights. *Spams Holy and Banish III when engaged in battle. *Possesses an innate and powerful Enlight effect on his melee attacks. *Uses various Sword weap..."
"Gumbah","163","""Bastok Mines""","516","very long","Starts Quests: * Blade of Darkness * Blade of Death * Inheritance Involved in Quests: * Rivals * The Eleventh's Hour Involved in Missions: * Bastok Mission 6-1: Return of the Talekeeper * Bastok Mission 7-1: The Final Im..."
"Ioupie, R.K.","5047","""Outland"", ""Pashhow Marshlands""","516","very long; wiki markup","Notes: Appears, when Derfland is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress B..."
"Limion, R.K.","5324","""San d'Oria"", ""The Sanctuary of Zi'Tah""","516","very long; wiki markup","Notes: Appears, when Li'Telor is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress B..."
"Ballie, R.K.","5024","""Outland"", ""San d'Oria"", ""West Ronfaure""","515","very long; wiki markup","Notes: Appears, when Ronfaure is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Ba..."
"Buliame, R.K.","4803","""Meriphataud Mountains"", ""San d'Oria""","515","very long; wiki markup","Notes: Appears, when Aragoneu is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Ba..."
"Prunilla, R.K.","5076","""Outland"", ""San d'Oria"", ""Valkurm Dunes""","515","very long; wiki markup","Notes: Appears, when Zulkheim is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Ba..."
"Teldo-Moroldo, W.W.","4750","""Lufaise Meadows"", ""Outland"", ""Windurst""","515","very long; wiki markup","Notes: Appears when Tavnazian Archipelago is under Windurst control ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or Chari..."
"Anillah","1066","""Windurst"", ""Windurst Woods""","514","very long; instruction wording","Notes: Anillah is one of two workers who provides free synthesis support for clothcrafting in Windurst. Speaking with her will raise your clothcrafting skill ever so slightly, and give you a better chance at successful s..."
"Daborn, I.M.","4170","""Eastern Altepa Desert""","514","very long; wiki markup","Notes: Appears, when Kuzotz is under weekly conquest-control by Bastok. ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empre..."
"Paise, R.K.","3668","""Cape Teriggan"", ""San d'Oria""","514","very long; wiki markup","Notes: Appears, when Vollbow is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Ba..."
"Chopapa, W.W.","3575","""Beaucedine Glacier"", ""Outland"", ""Windurst""","513","very long; wiki markup","Notes: Appears, when Fauregandi is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band..."
"Tememe, W.W.","5102","""Outland"", ""Windurst"", ""Xarcabard""","513","very long; wiki markup","Notes: Appears, when Valdeaunia is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band..."
"Mashasha, W.W.","3640","""Buburimu Peninsula"", ""Windurst""","512","very long; wiki markup","Notes: Appears, when Kolshushu is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band..."
"Butsutsu, W.W.","4939","""North Gustaberg"", ""Windurst""","511","very long; wiki markup","Notes: Appears, when Gustaberg is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band ..."
"Geruru, W.W.","4631","""Jugner Forest"", ""Outland"", ""Windurst""","511","very long; wiki markup","Notes: Appears, when Norvallen is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band ..."
"Laimeve, R.K.","4175","""Eastern Altepa Desert"", ""San d'Oria""","511","very long; wiki markup","Notes: Appears when Kuzotz is under weekly conquest-control by San d'Oria. ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band..."
"Rochefogne","5335","""San d'Oria""","511","very long","Involved in Missions: * San d'Oria Mission 1-1: Smash the Orcish Scouts * San d'Oria Mission 1-2: Bat Hunt * San d'Oria Mission 2-3: Infiltrate Davoi * San d'Oria Mission 6-1: Leaute's Last Wishes * San d'Oria Mission 6-..."
"Singing Blade, I.M.","5094","""Outland"", ""Qufim Island""","511","very long; wiki markup","Notes: Appears, when Qufim is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Emperor Band, Empress..."
"Sleakachiq","4879","""Newton Movalpolos""","511","very long; instruction wording","Notes: * Only accessible out of the exit from Mine Shaft #2716. * She will warp a character to either North Gustaberg (K-6) or back to the entrance of Mine Shaft #2716, for 800 gil. * It is only possible to interact with..."
"Akane, I.M. (Meriphataud Mountains)","4800","""Meriphataud Mountains""","510","very long; wiki markup","Notes: Appears, when Aragoneu is under weekly conquest-control by Bastok ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or Ch..."
"Daruru, W.W.","4805","""Meriphataud Mountains"", ""Windurst""","510","very long; wiki markup","Notes: Appears, when Aragoneu is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band ..."
"Ochocho, W.W.","5491","""The Sanctuary of Zi'Tah"", ""Windurst""","510","very long; wiki markup","Notes: Appears, when Li'Telor is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band ..."
"Matica, R.K.","5060","""Outland"", ""Qufim Island"", ""San d'Oria""","509","very long; wiki markup","Notes: Appears, when Qufim is under weekly conquest-control by San d'Oria ;Notes for characters only with San d'Oria as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band ..."
"Matildie","506","""Northern San d'Oria"", ""San d'Oria""","509","very long; wiki markup","Notes: Dialogue: Anilla: Is it just me, or are there more strangers in town these days? Whatever could it mean? Matildie: What, have you not heard? They are recruiting adventurers in droves! I hear they're taking any who..."
"Tebubu, W.W.","5101","""Outland"", ""Valkurm Dunes"", ""Windurst""","509","very long; wiki markup","Notes: Appears, when Zulkheim is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band o..."
"Tottoto, W.W.","5105","""Outland"", ""West Ronfaure"", ""Windurst""","509","very long; wiki markup","Notes: Appears, when Ronfaure is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band o..."
"Orukeke, W.W.","3667","""Cape Teriggan"", ""Windurst""","508","very long; wiki markup","Notes: Appears, when Vollbow is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band o..."
"Sahgygy, W.W.","4178","""Eastern Altepa Desert"", ""Outland"", ""Windurst""","506","very long; wiki markup","Notes: Appears, when Kuzotz is under weekly conquest-control by Windurst. ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or..."
"Valentione Single","5340","""San d'Oria"", ""San d'Oria :*Male Hume - Southern San d'Oria"", ""Special Event"", ""Windurst""","506","very long; instruction wording; wiki markup","Notes: They appear when the special event Valentione's Day is active. ;Notes: :*There are 8 Valentione Singles in each town - One for each race and gender. :*Each gender have 4 different personalities: Honest, cheerful, ..."
"Iron Eater","237","""Metalworks""","505","very long","Starts Quests: * The Weight of Your Limits Involved in Quests: * Fires of Discontent * The Doorman * Waking the Colossus Involved in Missions: * Bastok Mission 2-2: Wading Beasts * Bastok Mission 3-1: The Four Musketeers..."
"Numumu, W.W.","5067","""Outland"", ""Qufim Island"", ""Windurst""","503","very long; wiki markup","Notes: Appears, when Qufim is under weekly conquest-control by Windurst ;Notes for characters only with Windurst as current Allegiance: :*Casts Signet :*Choice of setting Home Point for free :*Recharges Empress Band or C..."
